World rank,University,National rank,Total score,Alumni,Award,Hi Ci,N&S,PUB,PCP,Year,World rank integer,Country,ISO2 CODE,ISO3 CODE
1,Harvard University,1,100,100,100,100,100,100,79.6,2018,1,United States,US,USA
2,Stanford University,2,75.6,44.5,88.5,76.6,78.6,76.5,56,2018,2,United States,US,USA
3,University of Cambridge,1,71.8,82.3,95.4,56.7,57.6,70.9,59.5,2018,3,United Kingdom,GB,GBR
4,Massachusetts Institute of Technology (MIT),3,69.9,70.9,83.6,52.5,71.4,64.4,70.3,2018,4,United States,US,USA
6,Princeton University,5,61,55.8,97.9,44.9,47.1,44.2,73.3,2018,6,United States,US,USA
7,University of Oxford,2,60,50.8,54.2,61.3,52.6,77.1,46.8,2018,7,United Kingdom,GB,GBR
8,Columbia University,6,58.2,62.8,67.2,41.8,56.4,71.5,33.7,2018,8,United States,US,USA
9,California Institute of Technology,7,57.4,53.5,67.5,34.5,57.6,45,100,2018,9,United States,US,USA
10,University of Chicago,8,55.5,59.2,90.1,35.8,42.5,52,44.2,2018,10,United States,US,USA
12,Yale University,10,50.7,47.1,49.7,44.9,53.4,58.7,35.7,2018,12,United States,US,USA
12,Cornell University,10,50.7,43.1,49.1,46.9,47.3,61.6,43.4,2018,12,United States,US,USA
14,University of Washington,12,50,24.9,37.4,54.2,49.1,75.9,31.4,2018,14,United States,US,USA
16,University of Pennsylvania,14,46.4,31.3,33.4,46.9,41.7,69.7,39.7,2018,16,United States,US,USA
17,University College London,3,46.1,27.8,35.8,41.8,39,78.8,32.6,2018,17,United Kingdom,GB,GBR
18,Johns Hopkins University,15,45.4,37.3,33.2,37.1,43.4,75.7,28.7,2018,18,United States,US,USA
19,Swiss Federal Institute of Technology Zurich,1,43.9,29.2,35.1,33.2,49.9,58.7,47.5,2018,19,Switzerland,CH,CHE
20,Washington University in St. Louis,16,42.1,22.7,24.6,55,42.3,53.8,38.6,2018,20,United States,US,USA
22,The University of Tokyo,1,41.5,38.3,25,25.3,46,72.8,29.8,2018,22,Japan,JP,JPN
23,University of Toronto,1,40.9,19.7,17,35.8,38.9,83.1,31.7,2018,23,Canada,CA,CAN
24,Imperial College London,4,40.1,14.4,35.4,35.8,31,67.7,39.1,2018,24,United Kingdom,GB,GBR
25,Northwestern University,18,39.9,15.2,27.6,48.8,33.3,62.2,31.7,2018,25,United States,US,USA
26,Duke University,19,39.7,15.2,19,55.9,35.6,63.9,25.5,2018,26,United States,US,USA
27,University of Michigan-Ann Arbor,20,39.4,34.1,0,41.8,41,80.8,25,2018,27,United States,US,USA
28,University of Wisconsin - Madison,21,38.9,32.5,34.3,30.3,32.3,65,24.3,2018,28,United States,US,USA
29,University of Copenhagen,1,38.7,21.5,18.6,33.2,37.6,67.8,42.9,2018,29,Denmark,DK,DNK
30,University of North Carolina at Chapel Hill,22,37.9,8.8,23.4,45.9,30.2,64.7,34.4,2018,30,United States,US,USA
30,Rockefeller University,22,37.9,16.8,61.4,33.2,42.4,19.5,41.5,2018,30,United States,US,USA
32,The University of Edinburgh,5,37.2,27.3,24.6,42.8,30.9,55.9,28.7,2018,32,United Kingdom,GB,GBR
32,New York University,24,37.2,29.6,31.5,25.3,39.5,60.6,20.8,2018,32,United States,US,USA
34,The University of Manchester,6,37,18.3,32.2,34.5,30.9,60,28.9,2018,34,United Kingdom,GB,GBR
35,Kyoto University,2,36.4,31.3,36.7,21.4,31.7,60.8,23.9,2018,35,Japan,JP,JPN
36,Sorbonne University,1,36.1,33.3,27.1,25.3,29.9,64.7,26.2,2018,36,France,FR,FRA
38,University of Colorado at Boulder,26,35.7,12.4,33.6,31.8,37.4,48.5,35,2018,38,United States,US,USA
38,The University of Melbourne,1,35.7,16.8,13.1,42.8,21.4,72.3,33.6,2018,38,Australia,AU,AUS
40,The University of Texas at Austin,27,35.6,20.9,16.1,38.3,36.4,58.6,29.2,2018,40,United States,US,USA
41,University of Illinois at Urbana-Champaign,28,35.4,29.6,35.8,19.2,31.8,57.8,28,2018,41,United States,US,USA
42,University of Paris-Sud (Paris 11),2,35.1,30,53.6,19.2,18.5,49,33.4,2018,42,France,FR,FRA
43,University of British Columbia,2,34.8,15.2,18.6,34.5,29.6,66.6,26.7,2018,43,Canada,CA,CAN
44,Karolinska Institute,1,34.7,25.4,26.3,25.3,24.9,56.6,48.6,2018,44,Sweden,SE,SWE
45,Tsinghua University,1,34.1,10.2,0,37.1,38.4,74.6,24.1,2018,45,China,CN,CHN
47,Heidelberg University,1,33.2,19.7,25,28.7,27.7,53.6,35.6,2018,47,Germany,DE,DEU
48,The University of Texas Southwestern Medical Center at Dallas,30,33,18.3,34,28.7,39.4,36.7,27,2018,48,United States,US,USA
48,Technical University Munich,2,33,36.6,21.3,25.3,25.2,53.6,35.5,2018,48,Germany,DE,DEU
50,Vanderbilt University,31,32.8,15.2,28.6,30.3,23,53.4,35.3,2018,50,United States,US,USA
51,Utrecht University,1,32.3,22.7,19.7,35.8,26.5,50.1,29.3,2018,51,Netherlands,NL,NLD
53,University of Munich,3,32.2,28.3,18.9,23.5,30.6,53.3,34.9,2018,53,Germany,DE,DEU
54,University of Zurich,2,32,5.1,23.7,30.3,29.4,54,33.8,2018,54,Switzerland,CH,CHE
55,The University of Queensland,2,31.5,12.4,0,37.1,26.6,66.8,34.9,2018,55,Australia,AU,AUS
56,King's College London,7,31.4,20.9,20.8,30.3,20.6,57.9,27.5,2018,56,United Kingdom,GB,GBR
57,University of Helsinki,1,31,18.3,20.8,28.7,21.7,54.6,34.2,2018,57,Finland,FI,FIN
57,Peking University,2,31,11.4,0,34.5,29.5,70.7,22.6,2018,57,China,CN,CHN
59,University of Geneva,3,30.9,29.6,27.9,25.3,27,40.1,32.6,2018,59,Switzerland,CH,CHE
60,University of Southern California,33,30.8,0,31.3,31.8,20.4,55.1,24.6,2018,60,United States,US,USA
61,Ghent University,1,30.7,5.1,13.1,39.5,17.5,59.1,36.7,2018,61,Belgium,BE,BEL
62,University of Oslo,1,29.8,27.8,32.2,13.5,17.2,54.9,28.6,2018,62,Norway,NO,NOR
63,Uppsala University,2,29.5,17.6,27.1,16.6,23.9,53.5,29.5,2018,63,Sweden,SE,SWE
64,Ecole Normale Superieure - Paris,3,29.3,48.4,27.6,0,18.8,30.3,84.8,2018,64,France,FR,FRA
65,Aarhus University,2,29.2,11.4,21.8,19.2,23.3,56.6,33.4,2018,65,Denmark,DK,DNK
66,University of Groningen,2,29,13.4,25.2,19.2,18.4,55.9,33.7,2018,66,Netherlands,NL,NLD
67,Zhejiang University,3,28.3,0,0,35.8,17.6,74.5,21.8,2018,67,China,CN,CHN
68,University of Sydney,3,28.1,14.4,0,28.7,17.9,69.3,28.7,2018,68,Australia,AU,AUS
69,The Australian National University,4,28,13.4,19,23.5,23.9,48,31.7,2018,69,Australia,AU,AUS
70,Rice University,34,27.9,16.1,21.4,35.8,19.7,32.4,38.6,2018,70,United States,US,USA
70,Purdue University - West Lafayette,34,27.9,13.4,22.8,19.2,23.1,53.2,23.7,2018,70,United States,US,USA
70,McGill University,3,27.9,32.5,0,19.2,25.8,62.1,26.8,2018,70,Canada,CA,CAN
70,Boston University,34,27.9,11.4,11.4,30.3,24.3,53.1,23.8,2018,70,United States,US,USA
74,University of Bristol,8,27.7,7.2,16.1,23.5,30,48.4,28.6,2018,74,United Kingdom,GB,GBR
74,Pennsylvania State University - University Park,37,27.7,10.2,0,34.5,28.7,55.1,24.6,2018,74,United States,US,USA
74,Leiden University,3,27.7,17.6,9.3,28.7,20.6,51.9,33,2018,74,Netherlands,NL,NLD
77,Technion-Israel Institute of Technology,1,27.6,23.3,37.2,19.2,20.6,32.1,28.8,2018,77,Israel,IL,ISR
77,Stockholm University,3,27.6,23.8,27.1,16.6,22.1,43.8,27.4,2018,77,Sweden,SE,SWE
79,Georgia Institute of Technology,38,27.5,12.4,0,38.3,24.6,46.6,38,2018,79,United States,US,USA
79,Erasmus University Rotterdam,4,27.5,0,14.7,48.8,14.6,36.4,40.2,2018,79,Netherlands,NL,NLD
81,Swiss Federal Institute of Technology Lausanne,4,27.3,0,0,34.5,33.1,43.8,44.4,2018,81,Switzerland,CH,CHE
81,Mayo Medical School,39,27.3,0,0,50.7,13.8,51.3,35.9,2018,81,United States,US,USA
83,Nagoya University,3,27.2,28.7,25,16.6,18.8,46.2,25,2018,83,Japan,JP,JPN
85,National University of Singapore,1,27.1,0,0,30.3,22.4,62.1,35.5,2018,85,Singapore,SG,SGP
86,University of Florida,41,27,16.8,0,28.7,18.9,63.6,24.8,2018,86,United States,US,USA
86,Moscow State University,1,27,40.9,32.6,0,9.7,52.5,33.7,2018,86,Russian Federation,RU,RUS
86,McMaster University,4,27,12.4,18.6,34.5,11.3,46.3,30.8,2018,86,Canada,CA,CAN
86,KU Leuven,2,27,0,0,33.2,22.4,60.9,31.2,2018,86,Belgium,BE,BEL
91,Monash University,5,26.8,0,0,28.7,23.1,64.6,29.7,2018,91,Australia,AU,AUS
91,Carnegie Mellon University,43,26.8,31.3,31.2,21.4,12.3,35.6,30.1,2018,91,United States,US,USA
93,The University of Western Australia,6,26.5,13.4,13.9,25.3,15.7,51.1,33.5,2018,93,Australia,AU,AUS
94,The Ohio State University - Columbus,44,26.4,12.4,0,27.1,21.3,65.3,18.6,2018,94,United States,US,USA
95,The Hebrew University of Jerusalem,2,26.2,31.7,27.9,13.5,17.9,39,28.1,2018,95,Israel,IL,ISR
