World rank,University,National rank,Total score,Alumni,Award,Hi Ci,N&S,PUB,PCP,Year,World rank integer,Country,ISO2 CODE,ISO3 CODE
1,Harvard University,1,100,100,100,100,100,100,79.6,2018,1,United States,US,USA
1,Harvard University,1,100,100,100,100,100,100,73,2007,1,United States,US,USA
1,Harvard University,1,100,100,100,100,100,100,74.1,2008,1,United States,US,USA
1,Harvard University,1,100,100,100,100,100,100,75.3,2014,1,United States,US,USA
1,Harvard University,1,100,100,100,100,100,100,70.5,2011,1,United States,US,USA
1,Harvard University,1,100,100,100,100,100,100,72.5,2013,1,United States,US,USA
1,Harvard University,1,100,100,100,100,100,100,73.6,2006,1,United States,US,USA
1,Harvard University,1,100,100,100,100,100,100,71.1,2012,1,United States,US,USA
1,Harvard University,1,100,100,100,100,100,100,79.6,2018,1,United States,US,USA
1,Harvard University,1,100,100,100,100,100,100,76.6,2015,1,United States,US,USA
1,Harvard University,1,100,100,100,100,100,100,74.8,2009,1,United States,US,USA
1,Harvard University,1,100,100,100,100,100,100,69.2,2010,1,United States,US,USA
1,Harvard University,1,100,100,100,100,100,100,79.5,2017,1,United States,US,USA
2,Stanford University,2,75.6,44.5,88.5,76.6,78.6,76.5,56,2018,2,United States,US,USA
2,Stanford University,2,73.7,40,78.7,86.6,68.9,71.6,66.9,2008,2,United States,US,USA
2,Stanford University,2,72.6,40,80.7,88.9,68.7,69.4,50.4,2013,2,United States,US,USA
2,Stanford University,2,74.7,42.9,89.6,80.1,73.6,73.1,55.8,2016,2,United States,US,USA
2,Stanford University,2,73.1,39,78.7,87.1,67.3,70.1,66.9,2009,2,United States,US,USA
2,Stanford University,2,75.6,44.5,88.5,76.6,78.6,76.5,56,2018,2,United States,US,USA
2,Stanford University,2,73.7,42,78.7,86.1,69.6,70.3,65.7,2007,2,United States,US,USA
2,Stanford University,2,72.6,41.2,78.4,88.4,70.2,70.3,48.6,2011,2,United States,US,USA
2,Stanford University,2,72.8,38,79.7,88.9,71.6,69.6,49.2,2012,2,United States,US,USA
2,Stanford University,2,73.3,40.7,89.6,80.1,70.1,70.6,53.8,2015,2,United States,US,USA
2,Stanford University,2,76.5,44.5,88.5,87.3,74.4,73.7,56.8,2017,2,United States,US,USA
